dataset,fold,strategy,index,weight
1027_ESL,1,r50s1,125,0.40610218400364495
1027_ESL,1,r50s3,14,0.4911963060745924
1027_ESL,1,r50s3,123,0.22559197713141496
1027_ESL,1,r50s3,127,0.28321171679399265
1027_ESL,1,r50s5,13,0.04665342463231214
1027_ESL,1,r50s5,14,0.42948910191993683
1027_ESL,1,r50s5,121,0.16305573789834893
1027_ESL,1,r50s5,123,0.0692052172856097
1027_ESL,1,r50s5,127,0.29159651826379235
1027_ESL,1,r100s1,0,0.36595967240749416
1027_ESL,1,r100s1,14,0.16597789582940284
1027_ESL,1,r100s1,112,0.05301575637385702
1027_ESL,1,r100s1,117,0.008944491385601178
1027_ESL,1,r100s1,125,0.40610218400364495
1027_ESL,1,r100s3,14,0.4911963060745924
1027_ESL,1,r100s3,123,0.22559197713141496
1027_ESL,1,r100s3,127,0.28321171679399265
1027_ESL,1,r100s5,13,0.04665342463231214
1027_ESL,1,r100s5,14,0.42948910191993683
1027_ESL,1,r100s5,121,0.16305573789834893
1027_ESL,1,r100s5,123,0.0692052172856097
1027_ESL,1,r100s5,127,0.29159651826379235
1027_ESL,1,ga,0,0.47189631758671186
1027_ESL,1,ga,121,0.16393005558879686
1027_ESL,1,ga,123,0.06971124361452456
1027_ESL,1,ga,127,0.2944623832099666
1027_ESL,1,df,12,0.5629886580143662
1027_ESL,1,df,109,0.03180887177783429
1027_ESL,1,df,117,0.028858963544526463
1027_ESL,1,df,123,0.3763435066632732
1027_ESL,2,full,14,0.4548979536951885
1027_ESL,2,full,109,0.039833190813495505
1027_ESL,2,full,121,0.20304560286852222
1027_ESL,2,full,122,0.15633371428572213
1027_ESL,2,full,127,0.14588953833707152
1027_ESL,2,gs1,14,0.507961427611647
1027_ESL,2,gs1,112,0.11938486119955358
1027_ESL,2,gs1,121,0.3726537111887994
1027_ESL,2,gs3,14,0.4922345276798825
1027_ESL,2,gs3,111,0.1306630158253482
1027_ESL,2,gs3,121,0.3455531024772599
1027_ESL,2,gs3,125,0.03154935401750935
1027_ESL,2,gs5,14,0.45574496851433466
1027_ESL,2,gs5,110,0.02754958938063091
1027_ESL,2,gs5,121,0.2039373868383158
1027_ESL,2,gs5,122,0.16341173283529123
1027_ESL,2,gs5,127,0.14935632243142738
1027_ESL,2,r10s1,14,0.507961427611647
1027_ESL,2,r10s1,112,0.11938486119955358
1027_ESL,2,r10s1,121,0.3726537111887994
1027_ESL,2,r10s3,14,0.4922345276798825
1027_ESL,2,r10s3,111,0.1306630158253482
1027_ESL,2,r10s3,121,0.3455531024772599
1027_ESL,2,r10s3,125,0.03154935401750935
1027_ESL,2,r10s5,14,0.45574496851433466
1027_ESL,2,r10s5,110,0.02754958938063091
1027_ESL,2,r10s5,121,0.2039373868383158
1027_ESL,2,r10s5,122,0.16341173283529123
1027_ESL,2,r10s5,127,0.14935632243142738
1027_ESL,2,r25s1,14,0.507961427611647
1027_ESL,2,r25s1,112,0.11938486119955358
1027_ESL,2,r25s1,121,0.3726537111887994
1027_ESL,2,r25s3,14,0.4922345276798825
1027_ESL,2,r25s3,111,0.1306630158253482
1027_ESL,2,r25s3,121,0.3455531024772599
1027_ESL,2,r25s3,125,0.03154935401750935
1027_ESL,2,r25s5,14,0.45574496851433466
1027_ESL,2,r25s5,110,0.02754958938063091
1027_ESL,2,r25s5,121,0.2039373868383158
1027_ESL,2,r25s5,122,0.16341173283529123
1027_ESL,2,r25s5,127,0.14935632243142738
1027_ESL,2,r50s1,14,0.507961427611647
1027_ESL,2,r50s1,112,0.11938486119955358
1027_ESL,2,r50s1,121,0.3726537111887994
1027_ESL,2,r50s3,14,0.4922345276798825
1027_ESL,2,r50s3,111,0.1306630158253482
1027_ESL,2,r50s3,121,0.3455531024772599
1027_ESL,2,r50s3,125,0.03154935401750935
1027_ESL,2,r50s5,14,0.45574496851433466
1027_ESL,2,r50s5,110,0.02754958938063091
1027_ESL,2,r50s5,121,0.2039373868383158
1027_ESL,2,r50s5,122,0.16341173283529123
1027_ESL,2,r50s5,127,0.14935632243142738
1027_ESL,2,r100s1,14,0.507961427611647
1027_ESL,2,r100s1,112,0.11938486119955358
1027_ESL,2,r100s1,121,0.3726537111887994
1027_ESL,2,r100s3,14,0.4922345276798825
1027_ESL,2,r100s3,111,0.1306630158253482
1027_ESL,2,r100s3,121,0.3455531024772599
1027_ESL,2,r100s3,125,0.03154935401750935
1027_ESL,2,r100s5,14,0.45574496851433466
1027_ESL,2,r100s5,110,0.02754958938063091
1027_ESL,2,r100s5,121,0.2039373868383158
1027_ESL,2,r100s5,122,0.16341173283529123
1027_ESL,2,r100s5,127,0.14935632243142738
1027_ESL,2,ga,13,0.45257714189928233
1027_ESL,2,ga,109,0.04059244533290971
1027_ESL,2,ga,121,0.20337255000306498
1027_ESL,2,ga,122,0.15613990231133365
1027_ESL,2,ga,127,0.14731796045340945
1027_ESL,2,df,12,0.5120671335803326
1027_ESL,2,df,109,0.2926874076770251
1027_ESL,2,df,123,0.1952454587426423
1027_ESL,3,full,0,0.4068687069032451
1027_ESL,3,full,113,0.0688519897454085
1027_ESL,3,full,117,0.14912754960233096
1027_ESL,3,full,123,0.07380483355930045
1027_ESL,3,full,125,0.07573722816882499
1027_ESL,3,full,127,0.22560969202088998
1027_ESL,3,gs1,0,0.4479623852624547
1027_ESL,3,gs1,116,0.09748058697583802
1027_ESL,3,gs1,118,0.15459016845142112
1027_ESL,3,gs1,125,0.29996685931028616
1027_ESL,3,gs3,0,0.4040470787973302
1027_ESL,3,gs3,111,0.02747700777149326
1027_ESL,3,gs3,116,0.032084957278793354
1027_ESL,3,gs3,117,0.16046698356670594
1027_ESL,3,gs3,123,0.07625458304488053
1027_ESL,3,gs3,125,0.07838179488454526
1027_ESL,3,gs3,127,0.22128759465625147
1027_ESL,3,gs5,0,0.4069070837266792
1027_ESL,3,gs5,114,0.06636017393830305
1027_ESL,3,gs5,117,0.15094105417337
1027_ESL,3,gs5,123,0.07432214824488599
1027_ESL,3,gs5,125,0.07698884722301753
1027_ESL,3,gs5,127,0.2244806926937441
1027_ESL,3,r10s1,0,0.4479623852624547
1027_ESL,3,r10s1,116,0.09748058697583802
1027_ESL,3,r10s1,118,0.15459016845142112
1027_ESL,3,r10s1,125,0.29996685931028616
1027_ESL,3,r10s3,0,0.4040470787973302
1027_ESL,3,r10s3,111,0.02747700777149326
1027_ESL,3,r10s3,116,0.032084957278793354
1027_ESL,3,r10s3,117,0.16046698356670594
1027_ESL,3,r10s3,123,0.07625458304488053
1027_ESL,3,r10s3,125,0.07838179488454526
